DOC. ID    | DOC. PATH                                          
1          | input/A9.xml                                       
2          | input/A90.xml                                      
3          | input/A900.xml                                     
4          | input/A901.xml                                     
5          | input/A902.xml                                     
6          | input/A903.xml                                     
7          | input/A904.xml                                     
8          | input/A905.xml                                     
9          | input/A906.xml                                     
10         | input/A907.xml                                     
11         | input/A908.xml                                     
12         | input/A909.xml                                     
13         | input/A91.xml                                      
14         | input/A910.xml                                     
15         | input/A911.xml                                     
16         | input/A912.xml                                     
17         | input/A913.xml                                     
18         | input/A914.xml                                     
19         | input/A915.xml                                     
20         | input/A916.xml                                     
21         | input/A92.xml                                      
22         | input/A921.xml                                     
23         | input/A922.xml                                     
24         | input/A923.xml                                     
25         | input/A924.xml                                     
26         | input/A926.xml                                     
27         | input/A927.xml                                     
28         | input/A928.xml                                     
29         | input/A929.xml                                     
30         | input/A93.xml                                      
31         | input/A930.xml                                     
32         | input/A94.xml                                      
33         | input/A95.xml                                      
34         | input/A96.xml                                      
35         | input/A97.xml                                      
36         | input/A98.xml                                      
37         | input/Camilo-Amor_de_Perdicao-ospl.txt             
38         | input/teste.txt                                    
39         | input/teste2.txt                                   

TERM                 | DOC. FREQUENCY | POSTING LIST                   
abadessa             | 1              | [37]                           
abafada              | 1              | [37]                           
abafado              | 1              | [37]                           
abaixo               | 2              | [35, 37]                       
abala                | 1              | [37]                           
abalou               | 1              | [37]                           
abandonados          | 1              | [15]                           
abandonar            | 3              | [1, 13, 37]                    
abandonar-nos        | 1              | [37]                           
abandonara           | 3              | [1, 13, 37]                    
abandonaria          | 1              | [37]                           
abandono             | 1              | [37]                           
abandonou            | 1              | [37]                           
abandonou-o          | 1              | [37]                           
abarrotado           | 1              | [37]                           
abastecimento        | 2              | [15, 33]                       
abater               | 1              | [2]                            
abatimentos          | 1              | [33]                           
abelhas              | 1              | [33]                           
abencoado            | 1              | [37]                           
abencoarei           | 1              | [37]                           
aberta               | 2              | [2, 37]                        
abertamente          | 1              | [2]                            
abertas              | 1              | [37]                           
aberto               | 5              | [6, 16, 18, 21, 37]            
abertos              | 1              | [37]                           
abertura             | 4              | [3, 11, 29, 37]                
abismo               | 1              | [37]                           
abismos              | 1              | [37]                           
abnegacao            | 1              | [37]                           
abner                | 1              | [8]                            
abobada              | 1              | [37]                           
abominar             | 1              | [37]                           
abomino              | 1              | [37]                           
abonatorias          | 2              | [17, 31]                       
abonou               | 1              | [37]                           
abordados            | 1              | [28]                           
aborrece             | 1              | [37]                           
aborrecia            | 1              | [37]                           
aborrecido           | 1              | [37]                           
abortado             | 1              | [2]                            
abra                 | 1              | [37]                           
abra-me              | 1              | [37]                           
abracadas            | 1              | [37]                           
abracala             | 1              | [37]                           
abracando            | 1              | [37]                           
abracando-o          | 1              | [37]                           
abracar              | 1              | [37]                           
abracar-se           | 1              | [37]                           
abraco               | 1              | [37]                           
abracos              | 1              | [37]                           
abracou              | 2              | [14, 37]                       
abram-me             | 1              | [37]                           
abrandamento         | 1              | [35]                           
abrande              | 1              | [35]                           
abrange              | 1              | [33]                           
abrangendo           | 3              | [6, 7, 33]                     
abrangente           | 1              | [33]                           
abrangera            | 1              | [37]                           
abrangia             | 1              | [37]                           
abranjam             | 1              | [33]                           
abrasada             | 1              | [37]                           
abrasado             | 1              | [37]                           
abre                 | 2              | [29, 37]                       
abre-me              | 1              | [37]                           
abrem                | 1              | [37]                           
abreu                | 2              | [17, 31]                       
abria                | 1              | [37]                           
abriam               | 1              | [37]                           
abrigo               | 1              | [37]                           
abrigou              | 1              | [7]                            
abril                | 6              | [2, 3, 7, 18, 22, 28]          
abrilhantava         | 1              | [37]                           
abrindo              | 1              | [37]                           
abrir                | 2              | [18, 37]                       
abrir-lha            | 1              | [37]                           
abrir-se             | 1              | [37]                           
abrira               | 1              | [37]                           
abriram-se           | 1              | [37]                           
abrirem              | 1              | [37]                           
abriria              | 1              | [37]                           
abriu                | 1              | [37]                           
abriu-a              | 1              | [37]                           
abriu-se             | 1              | [37]                           
abro                 | 1              | [37]                           
abruptamente         | 1              | [37]                           
absinto              | 1              | [37]                           
absoluta             | 3              | [12, 14, 37]                   
absolutamente        | 1              | [37]                           
absolvelo            | 1              | [37]                           
absolves-me          | 1              | [37]                           
absolvicao           | 1              | [37]                           
absolvicoes          | 1              | [8]                            
absolvido            | 1              | [37]                           
absolvidos           | 1              | [8]                            
absolvo              | 1              | [37]                           
absorve-me           | 1              | [37]                           
absorvera            | 1              | [37]                           
absorvia             | 1              | [37]                           
absorvida            | 1              | [37]                           
abstracto            | 1              | [11]                           
abstraida            | 1              | [37]                           
absurda              | 2              | [2, 37]                        
absurdas             | 1              | [37]                           
abundancia           | 1              | [37]                           
abundantes           | 1              | [37]                           
abundo               | 1              | [37]                           
abusivamente         | 1              | [7]                            
acaba                | 3              | [2, 27, 37]                    
acabadas             | 1              | [37]                           
acabado              | 2              | [2, 37]                        
acabados             | 1              | [37]                           
acabar               | 1              | [37]                           
acabara              | 4              | [1, 2, 13, 37]                 
acabaria             | 1              | [37]                           
acabei               | 1              | [2]                            
acabo                | 1              | [37]                           
acabou               | 7              | [1, 2, 8, 13, 29, 33, 37]      
acabou-se            | 1              | [37]                           
academia             | 1              | [37]                           
academico            | 2              | [2, 37]                        
academicos           | 1              | [37]                           
acanhamento          | 1              | [37]                           
acao                 | 1              | [37]                           
acarear              | 1              | [37]                           
acaso                | 3              | [2, 29, 37]                    
accao                | 3              | [2, 5, 6]                      
accionista           | 2              | [1, 13]                        
accionistas          | 3              | [1, 2, 13]                     
accoes               | 4              | [1, 13, 16, 33]                
accor                | 1              | [30]                           
acedeu               | 1              | [37]                           
acedido              | 1              | [7]                            
aceita               | 2              | [2, 37]                        
aceita-a             | 1              | [37]                           
aceitacao            | 1              | [5]                            
aceitala-ia          | 1              | [37]                           
aceitalos-ia         | 1              | [37]                           
aceitam              | 1              | [4]                            
